Player Id, Team Id, Player Name, Last Name, Shortened Name, Player Number, Games Played, Attempted Passes, Throwing Attempts Per Point, Throwing Attempts >30 Yards,  Completed Passes, Completions Per Point, Completions >30 Yards, Incompletions, Incompletions Per Point, Incompletions >30 Yards, Completion Percentage, >30 Yards Completion %, Receptions, Goals Scored, Goal Scores Per Point, Assists, Assists Per Point, Goals Against, Goals Against per Point, Throwing Yards, Thorwing Yards Per Point, Receiving Yards, Receiving Yards Per Point, Involvement Yards, Involvement Yards Per Point, Involvement Yards per OPoss, Percent Involvement Yards Throwing, Average Yard Per Throw Attempt, Average Yard Per Involvement (attempted throws + receptions), Involvment Yards per Turn, Touches Per Turnover, Average Yard per Catch, OLine Points Played, DLine Points Played, Total Points Played,Points Per Game,  O Plus Minus, D Plus Minus, Total Plus Minus, Percent Points OLine, Percent Points DLine, O Possessions Played, D Possessions Played, Percent Possessions Offensive, Percent Possessions Defensive, Offensive Usage Rate, Blocks, Interceptions, Blocks and Interceptions, Nearest Defender on Away Throwaway, Home Goals Scored While On Field, Average Number OPossessions Played Per Team Goal, Goals Against Per DPossession Played,Inverse Goals Against Per DPossession Played, Blocks Intercepts Per DPossession Played, Yards Against,Yards Against Ratable Share, Inverse Yards Against Ratable Share, Defensive DisUsage, Inverse Defensive Disusage
1372946253, 461#1372946221, Thorne, null, Thor,2,13,228,1.594,28,215,1.503,22,13,0.091,6,0.94298244,0.78571427,201,12,0.084,23,0.161,5,0.035,2711.228,18.96,1127.49,7.885,3838.718,26.844,20.204,0.706,11.891,9.228,295.29,18.46,5.609,137,6,143,11,73,-2,71,0.958,0.042,190,87,0.686,0.314,0.18,0,1,1,3,108,1.7592592,0.057,0.943,0.011,260.728,0.119,0.881,0.116,0.884
1372946275, 461#1372946221, Cook, null, Cook,4,13,174,1.176,8,168,1.135,5,6,0.041,3,0.9655172,0.625,156,10,0.068,11,0.074,6,0.041,1359.709,9.187,497.64,3.362,1857.349,12.55,10.674,0.732,7.814,5.733,309.56,30.67,3.19,119,29,148,11.385,61,-17,44,0.804,0.196,174,105,0.624,0.376,0.16,0,0,0,4,97,1.7938144,0.057,0.943,0,309.725,0.108,0.892,0.158,0.842
1372946302, 461#1372946221, Loskorn, null, Losk,5,13,221,1.545,24,210,1.469,18,11,0.077,6,0.95022625,0.75,179,5,0.035,21,0.147,4,0.028,2252.432,15.751,1089.361,7.618,3341.793,23.369,17.967,0.674,10.192,8.591,303.8,20.55,6.086,135,8,143,11,75,0,75,0.944,0.056,186,85,0.686,0.314,0.161,2,1,3,2,109,1.706422,0.047,0.953,0.035,285.701,0.142,0.858,0.136,0.864
1372946386, 461#1372946221, Matthis, null, Matt,6,13,22,0.212,2,20,0.192,1,2,0.019,1,0.90909094,0.5,31,8,0.077,3,0.029,13,0.125,101.829,0.979,437.71,4.209,539.539,5.188,8.053,0.189,4.629,10.579,269.77,15,14.12,1,103,104,8,1,-41,-40,0.01,0.99,67,134,0.333,0.667,0.087,6,0,6,3,32,2.09375,0.097,0.903,0.045,976.105,0.194,0.806,0.138,0.862
1372946411, 461#1372946221, Pollack, null, Poll,9,11,38,0.413,3,32,0.348,0,6,0.065,3,0.84210527,0,57,20,0.217,1,0.011,1,0.011,-17.368,-0.189,970.736,10.551,953.368,10.363,7.688,-0.018,-0.457,10.712,158.89,9.67,17.03,88,4,92,8.364,58,-2,56,0.957,0.043,124,54,0.697,0.303,0.076,3,0,3,3,74,1.6756756,0.019,0.981,0.056,180.609,0.144,0.856,0.11,0.89
1372946437, 461#1372946221, Darroh, null, Darr,10,10,27,0.491,0,25,0.455,0,2,0.036,0,0.9259259,0,26,1,0.018,4,0.073,2,0.036,186.407,3.389,158.691,2.885,345.098,6.275,9.86,0.54,6.904,6.767,172.55,14,6.104,0,55,55,5.5,0,-19,-19,0,1,35,70,0.333,0.667,0.13,3,1,4,1,18,1.9444444,0.029,0.971,0.057,130.117,0.047,0.953,0.115,0.885
1372946455, 461#1372946221, Walch, null, Walc,12,12,33,0.344,2,30,0.312,1,3,0.031,1,0.90909094,0.5,37,5,0.052,1,0.01,10,0.104,41.717,0.435,390.637,4.069,432.354,4.504,6.863,0.096,1.264,6.453,144.12,12.67,10.558,5,91,96,8,-1,-33,-34,0.052,0.948,63,117,0.35,0.65,0.128,1,2,3,5,32,1.96875,0.085,0.915,0.026,727.155,0.162,0.838,0.147,0.853
1372946482, 461#1372946221, Kramer, null, Kram,14,11,8,0.089,0,7,0.078,0,1,0.011,0,0.875,0,14,6,0.067,1,0.011,14,0.156,52.208,0.58,354.471,3.939,406.679,4.519,6.778,0.128,6.526,19.366,406.68,14,25.319,3,87,90,8.182,-1,-37,-38,0.033,0.967,60,115,0.343,0.657,0.047,4,0,4,3,26,2.3076923,0.122,0.878,0.035,971.607,0.228,0.772,0.162,0.838
1372946526, 461#1372946221, Poimdexter, null, Poim,15,11,40,0.556,1,38,0.528,0,2,0.028,1,0.95,0,37,2,0.028,4,0.056,4,0.056,255.58,3.55,259.519,3.604,515.099,7.154,9.365,0.496,6.39,6.868,257.55,21,7.014,11,61,72,6.545,9,-19,-10,0.153,0.847,55,81,0.404,0.596,0.133,2,1,3,2,31,1.7741935,0.049,0.951,0.037,301.886,0.111,0.889,0.088,0.912
1372946548, 461#1372946221, Kiran, null, Kira,16,13,108,0.697,13,101,0.652,10,7,0.045,3,0.9351852,0.7692308,131,22,0.142,14,0.09,8,0.052,520.637,3.359,2140.476,13.81,2661.113,17.168,13.306,0.196,4.821,11.47,380.16,18.57,16.34,137,18,155,11.923,73,-2,71,0.884,0.116,200,105,0.656,0.344,0.116,2,2,4,5,113,1.7699115,0.076,0.924,0.038,685.373,0.251,0.749,0.177,0.823
1372946585, 461#1372946221, Natenberg, null, Nate,18,13,118,0.915,7,112,0.868,5,6,0.047,2,0.9491525,0.71428573,117,9,0.07,10,0.078,4,0.031,778.791,6.037,888.433,6.887,1667.224,12.924,10.228,0.467,6.6,7.28,277.87,21.17,7.593,118,11,129,9.923,60,-7,53,0.915,0.085,163,81,0.668,0.332,0.128,1,1,2,2,92,1.7717391,0.049,0.951,0.025,231.699,0.111,0.889,0.13,0.87
1372946614, 461#1372946221, Richardson, null, Rich,19,13,38,0.319,3,33,0.277,1,5,0.042,2,0.8684211,0.33333334,39,5,0.042,4,0.034,4,0.034,105.963,0.89,325.754,2.737,431.717,3.628,5.265,0.245,2.788,5.996,86.34,8.6,8.353,12,107,119,9.154,6,-53,-47,0.101,0.899,82,145,0.361,0.639,0.102,2,0,2,4,38,2.1578948,0.028,0.972,0.014,248.846,0.046,0.954,0.168,0.832
1372946636, 461#1372946221, Wolfe, null, Wolf,20,5,5,0.116,0,5,0.116,0,0,0,0,1,0,6,1,0.023,2,0.047,1,0.023,17.771,0.413,55.367,1.288,73.138,1.701,2.612,0.243,3.554,6.649,0,0,9.228,1,42,43,8.6,1,-10,-9,0.023,0.977,28,51,0.354,0.646,0.039,0,0,0,1,17,1.6470588,0.02,0.98,0,48.62,0.03,0.97,0.134,0.866
1372946706, 461#1372946221, Christian, null, Chri,25,10,75,0.962,5,74,0.949,4,1,0.013,1,0.9866667,0.8,59,6,0.077,2,0.026,3,0.038,598.767,7.676,248.469,3.186,847.236,10.862,8.306,0.707,7.984,6.37,847.24,81,4.211,72,6,78,7.8,42,0,42,0.923,0.077,102,48,0.68,0.32,0.1,1,0,1,0,60,1.7,0.062,0.938,0.021,123.409,0.103,0.897,0.167,0.833
1372946733, 461#1372946221, Bigley, null, Bigl,42,13,101,1.02,10,88,0.889,6,13,0.131,4,0.8712871,0.6,66,2,0.02,8,0.081,10,0.101,791.375,7.994,-25.961,-0.262,765.414,7.731,10.631,1.034,7.835,4.97,58.88,7.92,-0.393,4,95,99,7.615,0,-41,-41,0.04,0.96,72,132,0.353,0.647,0.2,3,2,5,2,30,2.4,0.076,0.924,0.038,749.749,0.164,0.836,0.143,0.857
1372946755, 461#1372946221, Brooks, null, Broo,49,9,12,0.267,0,11,0.244,0,1,0.022,0,0.9166667,0,11,0,0,0,0,3,0.067,20.943,0.465,-20.306,-0.451,0.637,0.014,0.024,32.878,1.745,0.029,0.64,12,-1.846,0,45,45,5,0,-19,-19,0,1,27,59,0.314,0.686,0.095,2,0,2,0,13,2.0769231,0.051,0.949,0.034,215.293,0.101,0.899,0.129,0.871
1372946801, 461#1372946221, Degirolamo, null, Degi,81,13,123,0.719,17,116,0.678,15,7,0.041,2,0.9430894,0.88235295,149,24,0.14,28,0.164,5,0.029,1100.502,6.436,2317.328,13.552,3417.83,19.987,18.575,0.322,8.947,12.897,488.26,21,15.553,107,64,171,13.154,53,-24,29,0.626,0.374,184,142,0.564,0.436,0.143,9,0,9,4,102,1.8039216,0.035,0.965,0.063,713.999,0.158,0.842,0.147,0.853
1372946834, 461#1372946221, Renshaw, null, Rens,85,13,42,0.618,3,42,0.618,3,0,0,0,1,1,37,2,0.029,2,0.029,5,0.074,311.649,4.583,43.706,0.643,355.355,5.226,7.561,0.877,7.42,4.498,0,0,1.181,5,63,68,5.231,3,-21,-18,0.074,0.926,47,83,0.362,0.638,0.142,0,2,2,2,25,1.88,0.06,0.94,0.024,418.639,0.141,0.859,0.152,0.848
1381869852, 461#1372946221, 7Gibson, null, 7Gib,7,5,102,1.619,10,99,1.571,9,3,0.048,1,0.9705882,0.9,82,6,0.095,8,0.127,6,0.095,934.011,14.826,349.57,5.549,1283.581,20.374,25.168,0.728,9.157,7.092,427.86,36,4.263,14,49,63,12.6,8,-15,-7,0.222,0.778,51,68,0.429,0.571,0.242,1,0,1,1,29,1.7586207,0.088,0.912,0.015,209.963,0.099,0.901,0.14,0.86
1381869889, 461#1372946221, 11McMastres, null, 11Mc,11,5,26,1,0,26,1,0,0,0,0,1,0,19,0,0,2,0.077,1,0.038,189.306,7.281,79.508,3.058,268.814,10.339,8.4,0.704,7.281,5.974,0,0,4.185,25,1,26,5.2,9,1,10,0.962,0.038,32,15,0.681,0.319,0.099,0,0,0,0,18,1.7777778,0.067,0.933,0,49.244,0.185,0.815,0.158,0.842
