Player Id, Team Id, Player Name, Last Name, Shortened Name, Player Number, Games Played, Attempted Passes, Throwing Attempts Per Point, Throwing Attempts >30 Yards,  Completed Passes, Completions Per Point, Completions >30 Yards, Incompletions, Incompletions Per Point, Incompletions >30 Yards, Completion Percentage, >30 Yards Completion %, Receptions, Goals Scored, Goal Scores Per Point, Assists, Assists Per Point, Goals Against, Goals Against per Point, Throwing Yards, Thorwing Yards Per Point, Receiving Yards, Receiving Yards Per Point, Involvement Yards, Involvement Yards Per Point, Involvement Yards per OPoss, Percent Involvement Yards Throwing, Average Yard Per Throw Attempt, Average Yard Per Involvement (attempted throws + receptions), Involvment Yards per Turn, Touches Per Turnover, Average Yard per Catch, OLine Points Played, DLine Points Played, Total Points Played,Points Per Game,  O Plus Minus, D Plus Minus, Total Plus Minus, Percent Points OLine, Percent Points DLine, O Possessions Played, D Possessions Played, Percent Possessions Offensive, Percent Possessions Defensive, Offensive Usage Rate, Blocks, Interceptions, Blocks and Interceptions, Nearest Defender on Away Throwaway, Home Goals Scored While On Field, Average Number OPossessions Played Per Team Goal, Goals Against Per DPossession Played,Inverse Goals Against Per DPossession Played, Blocks Intercepts Per DPossession Played, Yards Against,Yards Against Ratable Share, Inverse Yards Against Ratable Share, Defensive DisUsage, Inverse Defensive Disusage
1382015082, 437#1382014938, 3 Sinicrope, null, 3 Si,3,15,35,0.443,4,30,0.38,3,5,0.063,1,0.85714287,0.75,40,6,0.076,6,0.076,5,0.063,266.513,3.374,446.42,5.651,712.933,9.024,7.059,0.374,7.615,10.185,142.59,8.2,11.16,28,51,79,5.267,22,-9,13,0.354,0.646,101,98,0.508,0.492,0.095,5,0,5,1,47,2.1489363,0.051,0.949,0.051,276.744,0.132,0.868,0.152,0.848
1382015115, 437#1382014938, 4 Snyder , null, 4 Sn,4,14,182,1.936,18,167,1.777,9,15,0.16,9,0.9175824,0.5,145,3,0.032,26,0.277,3,0.032,1765.491,18.782,228.683,2.433,1994.174,21.215,14.663,0.885,9.7,6.392,132.94,12.33,1.577,51,43,94,6.714,35,5,40,0.543,0.457,136,124,0.523,0.477,0.205,4,3,7,5,62,2.1935484,0.024,0.976,0.056,236.509,0.15,0.85,0.174,0.826
1382015153, 437#1382014938, 5 Jorgensen , null, 5 Jo,5,16,86,0.761,10,76,0.673,6,10,0.088,4,0.88372093,0.6,86,10,0.088,14,0.124,3,0.027,686.79,6.078,836.81,7.405,1523.6,13.483,9.958,0.451,7.986,9.405,152.36,9.6,9.73,45,68,113,7.062,31,-4,27,0.398,0.602,153,149,0.507,0.493,0.123,5,1,6,3,70,2.1857142,0.02,0.98,0.04,414.167,0.147,0.853,0.108,0.892
1382015189, 437#1382014938, 6 dantzker, null, 6 da,6,15,26,0.388,4,22,0.328,2,4,0.06,2,0.84615386,0.5,30,8,0.119,2,0.03,2,0.03,156,2.328,431.951,6.447,587.951,8.775,6.606,0.265,6,11.307,146.99,8.5,14.398,21,46,67,4.467,15,4,19,0.313,0.687,89,90,0.497,0.503,0.074,1,1,2,3,43,2.0697675,0.022,0.978,0.022,111.839,0.067,0.933,0.069,0.931
1382015221, 437#1382014938, 7 sharman, null, 7 sh,7,16,54,0.524,1,45,0.437,1,9,0.087,0,0.8333333,1,60,7,0.068,3,0.029,5,0.049,194.584,1.889,663.702,6.444,858.286,8.333,6.044,0.227,3.603,8.174,95.37,6.78,11.062,41,62,103,6.438,21,-6,15,0.398,0.602,142,141,0.502,0.498,0.083,8,1,9,8,60,2.3666666,0.035,0.965,0.064,557.336,0.183,0.817,0.127,0.873
1382015256, 437#1382014938, 8 sun, null, 8 su,8,15,146,0.986,15,131,0.885,7,15,0.101,8,0.89726025,0.46666667,101,2,0.014,11,0.074,7,0.047,1126.619,7.612,243.529,1.645,1370.148,9.258,6.92,0.822,7.717,5.906,91.34,9.87,2.411,57,91,148,9.867,35,-5,30,0.385,0.615,198,186,0.516,0.484,0.107,3,1,4,7,93,2.1290324,0.038,0.962,0.022,731.64,0.174,0.826,0.166,0.834
1382015323, 437#1382014938, 9 Kanemaru, null, 9 Ka,9,15,94,0.931,6,88,0.871,5,6,0.059,1,0.9361702,0.8333333,73,1,0.01,9,0.089,3,0.03,763.945,7.564,127.309,1.26,891.254,8.824,6.752,0.857,8.127,5.536,148.54,15.83,1.744,42,59,101,6.733,24,1,25,0.416,0.584,132,122,0.52,0.48,0.105,2,2,4,6,63,2.0952382,0.025,0.975,0.033,366.535,0.128,0.872,0.146,0.854
1382015375, 437#1382014938, 10 laroche, null, 10 l,10,16,38,0.442,3,33,0.384,1,5,0.058,2,0.8684211,0.33333334,50,10,0.116,2,0.023,4,0.047,45.968,0.535,640.627,7.449,686.595,7.984,6.186,0.067,1.21,8.272,137.32,9.6,12.813,38,48,86,5.375,22,0,22,0.442,0.558,111,111,0.5,0.5,0.088,2,0,2,9,51,2.1764705,0.036,0.964,0.018,388.947,0.197,0.803,0.175,0.825
1382015417, 437#1382014938, 11 Casey, null, 11 C,11,13,93,0.861,6,88,0.815,5,5,0.046,1,0.94623655,0.8333333,80,4,0.037,5,0.046,2,0.019,726.596,6.728,221.182,2.048,947.778,8.776,7.291,0.767,7.813,5.642,189.56,19.4,2.765,46,62,108,8.308,26,-4,22,0.426,0.574,130,125,0.51,0.49,0.117,0,0,0,2,66,1.969697,0.016,0.984,0,383.578,0.146,0.854,0.156,0.844
1382015475, 437#1382014938, 12 bowen, null, 12 b,12,16,45,0.446,4,38,0.376,3,7,0.069,1,0.84444445,0.75,56,11,0.109,6,0.059,6,0.059,232.596,2.303,743.366,7.36,975.962,9.663,8,0.238,5.169,10.383,139.42,8,13.274,36,65,101,6.312,26,-5,21,0.356,0.644,122,122,0.5,0.5,0.095,3,0,3,4,61,2,0.049,0.951,0.025,342.147,0.144,0.856,0.133,0.867
